Numbers,Skaitļi,Числа,Класс
hat,cepure,шапка,2
shorts,šorti,шорты,2
sweater,džemperis,свитер,2
shirt,krekls,рубашка,2
jacket,jaka,куртка,2
skirt,svārki,юбка,2
trousers,bikses,брюки,2
t-shirt,T-krekls,футболка,2
shoes,kurpes,туфли,2
socks,zeķes,носки,2
,,,
Hair,Mati,Волосы,
blond hair,gaiši mati,светлые волосы,2
curly hair,cirtaini mati,кудрявые волосы,2
dark hair,tumši mati,тёмные волосы,2
long hair,gari mati,длинные волосы,2
straight hair,taisni mati,прямые волосы,2
,,,
At home,Mājās,Дома,
picture,attēls,картина,2
wardrobe,drēbju skapis,шкаф для одежды,2
bed,gulta,кровать,2
clock,pulkstenis,часы,2
bookcase,grāmatplaukts,книжный шкаф,2
plant,augs,растение,2
television,televizors,телевизор,2
table,galds,стол,2
sofa,dīvāns,диван,2
cushion,spilvens,диванная подушка,2
,,,
Rooms,Istabas,Комнаты,
kitchen,virtuve,кухня,2
bathroom,vannasistaba,ванная,2
bedroom,guļamistaba,спальня,2
dining room,ēdamistaba,столовая,2
garden,dārzs,сад,2
living room,viesistaba,гостиная,2
,,,
Garden,Dārzs,Сад,
root,sakne,корень,2
flower,puķe,цветок,2
leaves,lapas,листья,2
tree,koks,дерево,2
fruit,auglis,фрукт,2
honey,medus,мёд,2
plums,plūmes,сливы,2
insects,kukaiņi,насекомые,2
,,,
Building materials,Būvmateriāli,Строительные материалы,
bricks,ķieģeļi,кирпичи,2
wood,koks,дерево,2
rock,akmens,камень,2
mud,dubļi,грязь,2
clay,māls,глина,2
,,,
Actions,Darbības,Действия,
I can,es varu,я умею,1
I can't,es nevaru,я не умею,1
I've got,man ir,у меня есть,2
I haven't got,man nav,у меня нет,2
I have,man ir,у меня есть,1
I haven't,man nav,у меня нет,1
I like,man patīk,мне нравится,1
I don't like,man nepatīk,мне не нравится,1
,,,
Introductions,Iepazīšanās,Знакомство,
hello,labdien,привет,1
bye,atā,пока,1
What's your name?,Kā tevi sauc?,Как тебя зовут?,1
How are you?,Kā tev klājas?,Как дела?,1
How old are you?,Cik tev gadu?,Сколько тебе лет?,1
What colour?,Kādā krāsā?,Какого цвета?,1
What's this?,Kas tas ir?,Что это?,1
please,lūdzu,пожалуйста,1
thanks,paldies,спасибо,1
fine,labi,хорошо,1
,,,
Pronouns,Vietniekvārdi,Местоимения,
I'm,es esmu,я,1
he's,viņš ir,он,1
she's,viņa ir,она,1
they're,viņi ir,они,1
we,mēs,мы,1
they,viņi,они,1
my,mans,мой,1
me,mani,меня,1
this,šis,этот,1
it's,tas ir,это,1
that's,tas ir,то,1
here,šeit,здесь,1
,,,
Instructions,Norādījumi,Инструкции,
listen,klausīties,слушать,1
point,rādīt,показывать,1
repeat,atkārtot,повторять,1
say,teikt,сказать,1
look,skatīties,смотреть,1
answer,atbildēt,отвечать,1
watch,skatīties,смотреть,1
complete,pabeigt,закончить,1
sing,dziedāt,петь,1
match,savienot,подобрать пару,1
ask,jautāt,спрашивать,1
guess,uzminēt,угадать,1
join,savienot,соединить,1
put,likt,положить,1
find,atrast,найти,1
tick,atzīmēt,отметить галочкой,1
cross,pārsvītrot,зачеркнуть,1
colour,izkrāsot,раскрасить,1
play,spēlēt,играть,1
write,rakstīt,писать,1
read,lasīt,читать,1
make,veidot,мастерить,1
draw,zīmēt,рисовать,1
check,pārbaudīt,проверить,1
turn,kārta,очередь,1
remember,atcerēties,запомнить,1
practise,trenēties,тренироваться,1
again,vēlreiz,снова,1
think,domāt,думать,1
pair,pāris,пара,1
share,dalīties,делиться,1
create,veidot,создавать,1
miss,izlaist,пропустить,1
,,,
Places,Vietas,Места,
park,parks,парк,1
playground,rotaļlaukums,детская площадка,1
farm,ferma,ферма,1
,,,
Questions,Jautājumi,Вопросы,
what,"kas, kāds","что, какой",1
where,"kur, kurp","где, куда",1
who,kas,кто,1
how,kā,как,1
which,"kurš, kāds","какой, который",1
,,,
Helper words,Palīgvārdi,Слова-помощники,
lots,daudz,много,1
only,tikai,только,1
other,cits,другой,1
maybe,varbūt,может быть,1
then,"tad, pēc tam","затем, потом",1
about,par,"о, про",1
,,,
Birthday,Dzimšanas diena,День рождения,
board game,galda spēle,настольная игра,3
jigsaw,puzle,пазл,3
balloon,balons,воздушный шар,3
camera,fotoaparāts,фотоаппарат,3
dress,kleita,платье,3
necklace,kaklarota,ожерелье,3
chocolate,šokolāde,шоколад,3
watch,pulkstenis,наручные часы,3
umbrella,lietussargs,зонт,3
dinosaur,dinozaurs,динозавр,3
,,,
Feelings,Jūtas un emocijas,Чувства и эмоции,
happy,laimīgs,счастливый,3
sad,bēdīgs,грустный,3
hungry,izsalcis,голодный,3
thirsty,izslāpis,испытывающий жажду,3
angry,dusmīgs,сердитый,3
tired,noguris,уставший,3
,,,
Jobs,Profesijas,Профессии,
police officer,policists,полицейский,3
cook,pavārs,повар,3
football player,futbolists,футболист,3
scientist,zinātnieks,учёный,3
zoo keeper,zoodārza uzraugs,смотритель зоопарка,3
doctor,ārsts,врач,3
builder,celtnieks,строитель,3
waiter,viesmīlis,официант,3
farmer,lauksaimnieks,фермер,3
teacher,skolotājs,учитель,3
,,,
Transport,Transports,Транспорт,
bus,autobuss,автобус,3
car,mašīna,машина,3
motorbike,motocikls,мотоцикл,3
lorry,kravas auto,грузовик,3
plane,lidmašīna,самолёт,3
train,vilciens,поезд,3
,,,
Senses,Maņas,Органы чувств,
see,redzēt,видеть,3
smell,smaržot,чувствовать запах,3
taste,garšot,пробовать на вкус,3
touch,pieskarties,трогать,3
hear,dzirdēt,слышать,3
,,,
Town,Pilsēta,Город,
castle,pils,замок,3
cinema,kinoteātris,кинотеатр,3
museum,muzejs,музей,3
station,stacija,вокзал,3
hospital,slimnīca,больница,3
park,parks,парк,3
library,bibliotēka,библиотека,3
shop,veikals,магазин,3
restaurant,restorāns,ресторан,3
swimming pool,peldbaseins,бассейн,3
pet shop,zooveikals,зоомагазин,3
toy shop,rotaļlietu veikals,магазин игрушек,3
school,skola,школа,3
bookshop,grāmatnīca,книжный магазин,3
,,,
Positions,Novietojums,Расположение,
next to,blakus,рядом с,3
between,starp,между,3
in front of,priekšā,перед,3
behind,aiz,"позади, за",3
opposite,pretī,напротив,3
above,virs,над,3
,,,
Directions,Virzieni,Направления,
turn left,pagriezties pa kreisi,повернуть налево,3
turn right,pagriezties pa labi,повернуть направо,3
go straight on,doties taisni,идти прямо,3
